cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
配饰,配饰,黄金珠宝,CHJ JEWELLERY潮宏基,广东潮宏基实业股份有限公司,以彩金珠宝为主打，坚持设计创新理念，潮宏基珠宝在坚持设计领先的基础上，通过不断与国际上最优秀的珠宝品牌、设计师的合作，不断为中国消费者带来更多国际时尚前沿的珠宝作品，彰显...详情>>,1.8万,广东
配饰,配饰,时尚饰品,尚美至尚,浙江尚美至尚饰品连锁有限公司,时尚与美丽，是一个恒久不变的话题，从古时的匠人至今日的设计师，贯穿着每个时代不同的潮流象征。     自两年前，第一家尚美至尚饰品店启动，至公司确立，我们始终追逐着属于我们中...详情>>,74,浙江
配饰,配饰,手表,chopard,chopard,1860年，路易于利斯．萧邦在瑞士汝拉山松维裹埃小乡村创立了萧邦，萧邦专业生产怀表和精密时计。萧邦的钟表制作工艺超卓，在金质的怀表中享有杰出的声望。1976年，萧邦推出Happy Diam...详情>>,2031,上海静安区
配饰,配饰,手表,卡西欧CASIO,卡西欧电子(广州)有限公司,"CASIO卡西欧手表品牌：卡西欧电子广州有限公司成立于1996年，在广州经济开发区设有生产高科技腕式电子手表的工厂,在经营腕表出口业务的同时，主要在国内销售卡西欧高科技电子腕表。将...详情>>",1.1万,广东广州
配饰,配饰,眼镜,Gentle Monster,香港溥仪眼镜有限公司,韩国Gentle Monster眼镜品牌：GENTLE MONSTER于2011年4月由5位怀有引领潮流梦想的韩国人创立。品牌设计风格大胆，采用鲜艳色彩，搭配注入前卫的元素，不仅视觉上令人惊艳，更间接凸显...详情>>,2385,香港九龙城区
配饰,配饰,时尚饰品,舒宠,广州市和谐动漫产业有限公司,广州市和谐动漫产业有限公司，是一家致力于公仔研发设计、生产、销售为一体的公司；企业前身从事纺织品、玩具公仔生产销售，与美泰、孩之宝、hello kitty、迪士尼等国外玩具品牌合作...详情>>,34,广东
配饰,配饰,黄金珠宝,梵克雅宝Van Cleef&Arpels;,梵克雅宝有限公司,梵克雅宝 (Van Cleef&Arpels) 是法国著名奢侈品品牌，梵克雅宝 (Van Cleef&Arpels) 的珠宝自诞生以来，便一直是世界各国贵族和名流雅士所特别钟爱的顶级珠宝品牌。梵克雅宝 (...详情>>,3547,台湾台北
配饰,配饰,黄金珠宝,金奉祥,金奉祥珠宝集团（金奉祥）,金奉祥珠宝集团始于20世纪90年代初，经过20余年的发展，已成为专业从事黄金、铂金、K金、钻石、翡翠、彩色宝石等珠宝首饰的设计研发、批发零售、加盟连锁为一体的大型专业珠宝集团。...详情>>,100,四川成都
配饰,配饰,时尚饰品,SHE’S茜子,深圳市茜子服饰连锁经营有限公司,Shes茜子品牌介绍：   She’s坚持“FREE STYLE JUST FOR YOU”的理念，以自然美学为基础，沉淀时尚优雅风格，为都市女性提供多元的时尚蓝本，经过10多年的品牌积淀和市场感知，迄今已...详情>>,5.1万,广东深圳
配饰,配饰,时尚饰品,LOVE&LOVE;,深圳市爱与被爱珠宝有限公司,LOVE&LOVE珠宝是深圳市爱与被爱珠宝有限公司旗下只为真爱表达的珠宝品牌，深信世间的爱，就是彼此爱与被爱。LOVE&LOVE珠宝主牌及LOVE&LOVE-COUPLE’S轻珠宝副牌组合全面...详情>>,5.3万,广东深圳
配饰,配饰,时尚饰品,印巴文化,成都天艺饰品公司,印巴文化属于天艺所有品牌，公司拥有八年的南亚风格手工艺饰品销售经验，并把现代时尚与南亚、西藏传统文化艺术相结合，形成独具 特色的、浓厚的印巴文化风格.主营产品：印度、尼泊尔...详情>>,3973,四川
配饰,配饰,眼镜,木九十,深圳和泽联创投资有限公司,木九十眼镜品牌作为潮流眼镜的领军人物，木九十眼镜旗下集合了多个时常潮流眼镜品牌，包括“木九十 手造” “EVISU” “佐川藤井”“WAKEUP”等。 木（竹与木为基本材料）九（持久品...详情>>,9672,广东深圳
配饰,配饰,手表,GALTISCOPIO迦堤,深圳市卡比奥贸易有限公司,"灵感源自法国的优雅浪漫气息的GALTISCOPIO迦堤 , 品牌所带来的是一种自信的生活方式– “Time To Enjoy”，赋予女性时尚触觉的自由，散发出型格别致之美, 大胆与自由奔放的个性。GALT...详情>>",388,广东深圳
配饰,配饰,时尚饰品,style风格,上海风格服饰有限公司,上海风格服饰有限公司是一家集设计、销售、生产为一体的服饰公司，提供最时尚的流行配饰如手套，帽子，围巾等。公司成立于2001年5月，年出口额达5千万美元以上，在中国拥有一家直属工...详情>>,94,上海
配饰,配饰,服饰配饰,Beracah比拉加,北京西西家文化传播有限公司,Beracah比拉加是明星圈知名的配饰珠宝设计师平台。比拉加全球配饰买手团队是由一支明星造型师、时尚搭配师、独立设计师、视觉督导组成的，团队成员足迹遍布世界各地。比拉加献给你的...详情>>,59,北京朝阳区
配饰,配饰,黄金珠宝,TSL│谢瑞麟,谢瑞麟珠宝有限公司,TSL│谢瑞麟（谢瑞麟珠宝）是亚洲区著名珠宝集团，主要从事珠宝首饰设计、零售、出口及制造等业务。谢瑞麟珠宝于1971年创立，并于1987年在香港联合交易所有限公司上市。目前集团分别...详情>>,1188,香港九龙城区
配饰,配饰,黄金珠宝,墨涅塔MONETA,MONETA中国办事处,从一家实力雄厚的国际钻石贸易商到蜚声国际零售订制珠宝品牌，MONETA的传奇故事有如一个童话。而这个美丽传奇始于1990年的一次邂逅。MONETA在意大利语中，是瑰丽晨曦的意思，而MONETA...详情>>,3896,北京朝阳区
配饰,配饰,时尚饰品,Gcolor井の色,深圳市卡尼亚品牌经营管理有限公司,井の色Gcolor，系以倡导极简主义生活主张的名设计师井田信一创立的时尚快消品集合店，产品涵盖日韩风格饰品、发饰、晴雨伞品、时尚精品、袜子、内衣裤、毛巾、时尚鞋拖、皮带、腕表、...详情>>,154,广东
配饰,配饰,时尚饰品,House of Harlow 1960,台湾亚盛有限公司,House of Harlow 1960饰品品牌：哈露时装屋 House of Harlow 1960 是好莱坞It Girl 妮可&middot;里奇 Nicole Richie 自己担任设计师的首饰品牌。哈露时装屋 House of Harlow 1960...详情>>,149,台湾台北
配饰,配饰,手表,simpl,厦门市创欣旺贸易有限公司,"SIMPL品牌资料公司简介厦门市创欣旺贸易有限公司    Xiamen ChuangXinWang Trading Co.,Ltd.厦门市创欣旺贸易有限公司坐落于厦门市湖里区穆厝路，前期通过自营方式主营时尚太阳眼镜、...详情>>",1007,福建厦门
配饰,配饰,服饰配饰,FLEXFIT,FLEXFIT (中国) 运营中心,FLEXFIT品牌的诞生我们在1994年发布了首款有弹力的全封闭式棒球帽，Starter是我们的第一个客户，之后，这种款式得以在授权运动帽中迅速使用，FLEXFIT迅速成名。FLEXFIT的历史大约在18...详情>>,88,福建厦门
配饰,配饰,黄金珠宝,金至尊,恒丰金业科技有限公司,『金至尊珠宝』为恒丰金业科技集团的自创品牌，致力以高科技融合于珠宝首饰设计及生产中，产品系列款式新颖多元化，包括纯金首饰及摆件，以及各类优质钻石、宝石、珍珠、翡翠等名贵珠...详情>>,7722,香港湾仔区
配饰,配饰,黄金珠宝,Damiani,上海崇锦商贸有限公司,DAMIANI集团Damiani珠宝集团创立于1924年，意大利著名的金匠区——瓦伦扎，世界著名的珠宝生产地。其创始人著名的金匠大师Enrico Damiani是意大利国内甚至欧洲其他国家著名家族的专属...详情>>,3172,上海青浦区
