cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
家纺家饰,家纺家饰,家纺寝饰,月亮兔,北京月亮兔枕业有限公司,北京月亮兔枕业有限公司是由中国 卫华集团控股的子公司，成立于2010年2月，注册资金1300万元，总部设在北京。公司以“音乐枕”为核心，以枕头的专业化、健康化、品牌化经营为特色，以...详情>>,1771,北京宣武区
家纺家饰,家纺家饰,家纺寝饰,雅冬乐,中山市雅冬乐家纺（酒店用品）有限公司,中山市雅冬乐家纺（酒店用品）有限公司，成立于2003年，是&mdash;家集研发、生产、销售、服务为一体的现代化企业。专业生产各类型高级豪华床上用品及酒店用品，公司专注于科技产...详情>>,997,广东中山
家纺家饰,家纺家饰,家纺寝饰,F&X;地毯,杭州富兴集团有限公司,杭州富兴地毯有限公司隶属于杭州富兴集团有限公司，公司注册资本3000万元人民币。引进国际先进的簇绒地毯生产设备及后整理生产线。公司秉承比利时F&X地毯公司的地毯生产技术，并...详情>>,2146,浙江杭州
家纺家饰,家纺家饰,家纺寝饰,芘恩家纺,长沙芘恩生态家纺有限公司,长沙市芘恩家纺有限公司是中国首家专业从事植物纤维功能袜开发生产的企业，也是长株潭国家“两型社会”（资源节约型、环境友好型”）实验区首家专业从事天然木浆、竹浆双组份差异化纤...详情>>,1078,湖南长沙
家纺家饰,家纺家饰,家居饰品,Joyard Family,北京卓艾雅德商贸有限公司,Joyard Family是北京卓艾雅德商贸有限公司旗下家居生活用品品牌，主要经销进口中高档家居生活用品，包括日本陶瓷、树脂等家居用品，台湾文具、创意产品和玻璃、皮优制品，香港木质产...详情>>,1979,北京海淀区
家纺家饰,家纺家饰,家纺寝饰,悠莱家纺,广东佛山梦美轩家用纺织品有限公司,广东佛山梦美轩家用纺织品有限公司是一家专业经营家用纺织品的企业，公司集研发、设计、生产、销售于一体，是国内最早涉及家用纺织品并形成自己独特风格的家纺企业。公司成立于1997年...详情>>,4768,广东佛山
家纺家饰,家纺家饰,家居饰品,IHR,深圳市花千树贸易有限公司,IHR 成立于 1977 年，公司总部位于德国。是家居饰品专业的制造商与经营商，主要生产兼具艺术和传统文化气息的餐桌饰品和家居饰品配件。 公司拥有强大的研发部门、 完善的品质管理，多...详情>>,1371,广东深圳
家纺家饰,家纺家饰,窗帘布艺,ARNO雅内,广州雅尚家居用品有限公司,ARNO雅内布艺ARNO集团由Laura.Canova先生创立于1973年，最初只是一家在Florence生产制造地毯的手工作坊。经过多年的细心耕耘，到1999年，ARNO已经成为家具[ARNO furniture ]、家居用...详情>>,4247,广东广州
家纺家饰,家纺家饰,家居饰品,+86 Design Store,科缔恩（北京）家居用品有限公司,+86 Design Store 是一家国际设计师产品概念店。+86是中国的国际区号，我们希望以此作为世界和中国沟通的创意产品平台。 +86 Design Store 是由科缔恩（北京）家居用品有限公司创立，...详情>>,3137,北京朝阳区
家纺家饰,家纺家饰,家纺寝饰,加鼎地毯,北京加鼎地毯有限公司,北京加鼎地毯有限公司位于北京最大、最具发展空间的高新技术产业基地-亦庄经济技术开发区。公司是以出口室内装饰毯为主的国际贸易型企业，由于秉乘创立以来的一贯宗旨&mdash;&amp...;详情>>,3422,北京大兴区
家纺家饰,家纺家饰,家纺寝饰,三问sunwin,上海三问国际家居用品有限公司,上海三问国际家居用品集团公司创立于2002年，是专业从事高档、特色家用纺织品和装饰品的进出口公司，经过全体员工6年来艰苦不懈的努力，在03年成功跻身上海民营外贸企业100强之列 ，2...详情>>,3115,上海浦东新区
家纺家饰,家纺家饰,家居饰品,CHANDO香度,上海丰山工艺品有限公司,一种气息能代表一个家的品味， “CHANDO香度”让香氛点缀居所，香 气萦绕得如空气般自由存在，弥漫与整个 空间&mdash;&mdash;隔离于喧嚣的城市之外而拥有片 刻的宁静，进而激...详情>>,3130,上海闵行区
