category,goods_id,goods_name,color,sale_price,origin_price,design,material,stereotype,length
毛织,1HH4030300120,纯羊毛修身打底套头衫,大红,￥149 ,￥499 ,都会优雅,修身显瘦剪裁；撞色小高领；精选纯羊毛面料,修身,适中
毛织,1HH4030190090,蕾丝拼接透视套头毛衣,黑色,￥599 ,￥599 ,大方优雅,舒适宽松版型；优雅蕾丝拼接；小性感透视设计；精选含羊毛面料,宽松,适中
毛织,1HJ4033210010,V领纯色中长套头毛衣,米白,￥499 ,￥499 ,时髦百搭,中长合体版型；改良板球毛衣款；复古V领设计；精选舒适兔毛混纺,合体,中长
毛织,1HJ4033210050,V领纯色中长套头毛衣,米白,￥499 ,￥499 ,时髦百搭,中长合体版型；改良板球毛衣款；复古V领设计；精选舒适兔毛混纺,合体,中长
毛织,1HJ4033210090,V领纯色中长套头毛衣,米白,￥499 ,￥499 ,时髦百搭,中长合体版型；改良板球毛衣款；复古V领设计；精选舒适兔毛混纺,合体,中长
毛织,1HH4030440090,高领镂空纯羊毛衣,黑色,￥149 ,￥499 ,摩登优雅,套头修身版型；优雅小高领设计；薄款镂空款式；精选优质纯羊毛料,修身,适中
毛织,1HN4032990090,时尚图案长款毛衣外套,黑色,￥327 ,"￥1,090 ",轻松活力,长款宽松版型；衣边订线细节；后幅卡通图案；柔韧含羊毛材质,宽松,长款
毛织,1HH4030460010,V领排扣羊毛针织外套,米白,￥191 ,￥639 ,简洁大方,v领开襟款型；复古双排扣设计；精选优质羊毛+羊驼毛混纺面料,宽松,适中
毛织,1HH4030460090,V领排扣羊毛针织外套,米白,￥639 ,￥639 ,简洁大方,v领开襟款型；复古双排扣设计；精选优质羊毛+羊驼毛混纺面料,宽松,适中
毛织,1HJ4031980090,拼接系带套头羊毛毛衣,黑色,￥499 ,￥499 ,优雅时髦,套头宽松版型；V领拼接系带设计；大身优选100%纯羊毛打造,宽松,适中
毛织,1HJ4031980120,拼接系带套头羊毛毛衣,黑色,￥499 ,￥499 ,优雅时髦,套头宽松版型；V领拼接系带设计；大身优选100%纯羊毛打造,宽松,适中
毛织,1HN4033010010,纯色喇叭袖套头衫毛衣,米白,￥539 ,￥539 ,优雅俏丽,时尚微喇叭袖；大气无繁复纯色；两侧摩登开叉；精选羊毛混纺打造,合体,适中
毛织,1HJ4031280010,拼接薄款长袖套头毛衣,米白,￥149 ,￥369 ,优雅时髦,圆领套头款式；镂空V型前幅；拼接镂空双袖；柔韧羊毛混纺大身,修身,适中
毛织,1HJ4033050180,高领滚边羊毛衫,粉红,￥149 ,￥499 ,时髦百搭,简约修身版型；温暖高领设计；袖口花边设计；精选高羊毛含量面料,修身,适中
毛织,1HJ4033050530,高领滚边羊毛衫,粉红,￥149 ,￥499 ,时髦百搭,简约修身版型；温暖高领设计；袖口花边设计；精选高羊毛含量面料,修身,适中
毛织,1HY4031470149,V领撞色条纹修身毛衣,粉白条,￥179 ,￥599 ,摩登自信,套头修身版型；V领+翻领设计；复古撞色条纹图案；精选羊毛混纺,修身,适中
毛织,1HY4031470920,V领撞色条纹修身毛衣,粉白条,￥179 ,￥599 ,摩登自信,套头修身版型；V领+翻领设计；复古撞色条纹图案；精选羊毛混纺,修身,适中
毛织,1HY4031880630,撞色长款针织外套毛衣,粉蓝,￥357 ,"￥1,190 ",时尚格调,长款宽松版型；V领开襟设计；撞色抽象图案；精选羊毛混纺打造,宽松,长款
毛织,1HY4032080090,V领系带修身纯羊毛衫,黑色,￥259 ,￥839 ,魅力迷人,套头修身版型；V领+系带设计；大气纯色款式；大身100%羊毛打造,修身,适中
毛织,1HY4032080520,V领系带修身纯羊毛衫,黑色,￥259 ,￥839 ,魅力迷人,套头修身版型；V领+系带设计；大气纯色款式；大身100%羊毛打造,修身,适中
毛织,1HH4038500090,小高领短款套头衫毛衣,黑色,￥200 ,￥669 ,时尚百搭,短款宽松版型；时尚落肩设计；慵懒风宽袖；精选含羊毛+马海毛料,宽松,短款
毛织,1HH4038500180,小高领短款套头衫毛衣,黑色,￥200 ,￥669 ,时尚百搭,短款宽松版型；时尚落肩设计；慵懒风宽袖；精选含羊毛+马海毛料,宽松,短款
